user_id,interactions,labels
User_916,REACT2025HINDI:0.83:0.68;DEVOPS2025HINDI:0.4:0.55;NODEJS2025HINDI:0.99:0.8,DESIGN
User_375,PYTHONDATASCIENCE2025ENGLISH:0.64:0.59;PYTHON2025ENG:0.53:0.65,PROGRAMMING
User_960,PYTHON2025ENG:0.36:0.86,"DATA SCIENCE,DESIGN"
User_822,PYTHON2025HINDI:0.58:0.4,MOBILE
User_591,REACT2025HINDI:0.72:1.0;FLUTTER2025EN:0.05:0.13;GIT2025ENG:0.6:0.76;PYTHON2025ENG:0.96:0.39;AIML2025ENG:0.67:0.86;NODEJS2025HINDI:0.83:0.88;PYTHONDATASCIENCE2025ENGLISH:0.67:0.26;DEVOPS2025HINDI:0.86:0.58,AI/ML
User_580,FLUTTER2025EN:0.53:0.2;GIT2025HINDI:0.72:0.03;PYTHON2025HINDI:0.63:0.65;PYTHON2025ENG:0.44:0.69;DEVOPS2025HINDI:0.06:0.4,"PROGRAMMING,DATA SCIENCE,GIT AND GITHUB"
User_923,DEVOPS2025HINDI:0.45:0.98;PYTHON2025ENG:0.2:0.29;PYTHON2025HINDI:0.34:0.21;PYTHONDATASCIENCE2025ENGLISH:0.7:0.77;GIT2025ENG:0.67:0.02;GIT2025HINDI:0.24:0.79;NODEJS2025HINDI:0.03:0.35;AIML2025ENG:0.55:0.24,"DATA SCIENCE,AI/ML"
User_360,AIML2025ENG:0.87:0.34;PYTHONDATASCIENCE2025ENGLISH:0.39:0.07;PYTHON2025ENG:0.0:0.5;FLUTTER2025EN:0.25:0.96;GIT2025ENG:0.16:0.08;NODEJS2025HINDI:0.55:0.22;REACT2025HINDI:0.72:0.84;GIT2025HINDI:0.02:0.51;UIUXHINDI:0.92:0.63,MOBILE
User_780,FLUTTER2025EN:0.06:0.58;AIML2025ENG:0.99:0.97;UIUXHINDI:0.95:0.7;DEVOPS2025HINDI:0.81:0.31;REACT2025HINDI:0.23:0.56;GIT2025ENG:0.08:0.97;NODEJS2025HINDI:0.54:0.39,"DEVELOPMENT,MOBILE,GIT AND GITHUB"
User_944,FLUTTER2025EN:0.43:0.61;PYTHON2025ENG:0.13:0.05;NODEJS2025HINDI:0.03:0.47;AIML2025ENG:0.57:0.08;UIUXHINDI:0.59:0.5;REACT2025HINDI:0.89:0.92;GIT2025ENG:0.49:0.02;PYTHONDATASCIENCE2025ENGLISH:0.72:0.2,DEVOPS
User_714,FLUTTER2025EN:0.3:0.69;GIT2025HINDI:0.34:0.76;GIT2025ENG:0.67:0.91;PYTHONDATASCIENCE2025ENGLISH:0.34:0.48;DEVOPS2025HINDI:0.03:0.59;REACT2025HINDI:0.43:0.08;PYTHON2025HINDI:0.0:0.17;NODEJS2025HINDI:0.41:0.15;PYTHON2025ENG:0.19:0.16,DEVOPS
User_278,AIML2025ENG:0.18:0.8;GIT2025HINDI:0.37:0.31,"AI/ML,LANGUAGES"
User_606,GIT2025ENG:0.49:0.56;DEVOPS2025HINDI:0.01:0.83;REACT2025HINDI:0.99:0.8;AIML2025ENG:0.14:0.5;PYTHON2025ENG:0.1:0.2;NODEJS2025HINDI:0.47:0.66;UIUXHINDI:0.81:0.04;PYTHONDATASCIENCE2025ENGLISH:0.42:0.97,"PROGRAMMING,GIT AND GITHUB"
User_502,UIUXHINDI:0.91:0.44;AIML2025ENG:0.31:0.87;FLUTTER2025EN:0.39:0.8;PYTHON2025HINDI:0.55:0.61;PYTHON2025ENG:0.56:0.22,DESIGN
User_535,AIML2025ENG:0.04:0.2;FLUTTER2025EN:0.81:0.23;PYTHON2025HINDI:0.9:0.26;UIUXHINDI:0.0:0.02,"LANGUAGES,PROGRAMMING"
User_183,FLUTTER2025EN:0.2:0.49;PYTHON2025HINDI:0.58:0.75;PYTHONDATASCIENCE2025ENGLISH:0.88:0.67;DEVOPS2025HINDI:0.72:0.87,MOBILE
User_861,NODEJS2025HINDI:0.91:0.17;DEVOPS2025HINDI:0.36:0.05;PYTHON2025HINDI:0.32:0.95;REACT2025HINDI:0.46:0.42;UIUXHINDI:0.37:0.37;PYTHONDATASCIENCE2025ENGLISH:0.56:0.55,"LANGUAGES,DEVOPS,PROGRAMMING"
User_982,FLUTTER2025EN:0.41:0.46;UIUXHINDI:0.59:0.15;PYTHON2025ENG:0.9:0.29;AIML2025ENG:0.04:0.08;DEVOPS2025HINDI:0.73:0.24,"DESIGN,AI/ML,GIT AND GITHUB"
User_744,PYTHONDATASCIENCE2025ENGLISH:0.9:0.99;AIML2025ENG:0.98:0.83;NODEJS2025HINDI:0.32:0.83;GIT2025ENG:0.09:0.3;FLUTTER2025EN:0.76:0.79;PYTHON2025HINDI:0.32:0.09;PYTHON2025ENG:0.06:0.74;UIUXHINDI:0.88:0.36;GIT2025HINDI:0.39:0.2,MOBILE
User_671,NODEJS2025HINDI:0.54:0.85;PYTHON2025HINDI:0.75:0.12;REACT2025HINDI:0.82:0.28;DEVOPS2025HINDI:0.68:0.24;PYTHON2025ENG:0.87:0.21;GIT2025HINDI:0.95:0.28;FLUTTER2025EN:0.15:0.49;PYTHONDATASCIENCE2025ENGLISH:0.74:0.98;GIT2025ENG:0.1:0.95,"AI/ML,LANGUAGES"
User_306,NODEJS2025HINDI:0.8:0.89;PYTHON2025ENG:0.65:0.22;GIT2025HINDI:0.28:0.01;DEVOPS2025HINDI:0.27:0.82,"MOBILE,DATA SCIENCE,LANGUAGES"
User_391,PYTHON2025ENG:0.8:0.69;PYTHON2025HINDI:0.52:0.22;AIML2025ENG:0.63:0.96;GIT2025HINDI:0.25:0.38;UIUXHINDI:0.57:0.42;FLUTTER2025EN:0.93:0.38,AI/ML
User_220,PYTHONDATASCIENCE2025ENGLISH:0.47:0.53;NODEJS2025HINDI:0.12:0.52;AIML2025ENG:0.3:0.89;FLUTTER2025EN:0.99:0.94,"DEVELOPMENT,PROGRAMMING"
User_238,REACT2025HINDI:0.94:0.35;PYTHONDATASCIENCE2025ENGLISH:0.24:0.85;FLUTTER2025EN:0.59:0.74,PROGRAMMING
User_332,AIML2025ENG:0.87:0.56;FLUTTER2025EN:0.56:0.44;PYTHON2025ENG:0.25:0.45;GIT2025ENG:0.13:0.72,"AI/ML,DEVELOPMENT,PROGRAMMING"
User_789,FLUTTER2025EN:0.96:0.19;GIT2025ENG:0.06:0.54;UIUXHINDI:0.18:0.7;PYTHON2025ENG:0.97:0.65;PYTHON2025HINDI:0.44:0.48;GIT2025HINDI:0.43:0.75;NODEJS2025HINDI:0.93:0.53,DATA SCIENCE
User_513,DEVOPS2025HINDI:0.73:0.19;PYTHON2025ENG:0.72:0.96,AI/ML
User_408,AIML2025ENG:0.35:0.48;DEVOPS2025HINDI:0.82:0.06;GIT2025HINDI:0.82:0.4;PYTHONDATASCIENCE2025ENGLISH:0.99:0.36;NODEJS2025HINDI:0.49:0.33;FLUTTER2025EN:0.26:0.31,"MOBILE,GIT AND GITHUB"
User_293,DEVOPS2025HINDI:0.32:0.2;UIUXHINDI:0.52:0.17;PYTHON2025HINDI:0.62:0.38;PYTHONDATASCIENCE2025ENGLISH:0.48:0.23;GIT2025ENG:0.41:0.03;FLUTTER2025EN:0.32:0.88,"DEVELOPMENT,DESIGN"
User_971,PYTHON2025HINDI:0.56:0.87;UIUXHINDI:0.64:0.93;GIT2025ENG:0.3:0.81;FLUTTER2025EN:0.44:0.71;NODEJS2025HINDI:0.82:0.48,"DATA SCIENCE,MOBILE"
User_812,PYTHON2025HINDI:0.83:0.58;FLUTTER2025EN:0.2:0.42;GIT2025ENG:0.73:0.3;DEVOPS2025HINDI:0.98:0.77,"DEVOPS,DEVELOPMENT,MOBILE"
User_581,PYTHONDATASCIENCE2025ENGLISH:0.62:0.28;AIML2025ENG:0.48:0.02;NODEJS2025HINDI:0.74:0.93;PYTHON2025HINDI:0.49:0.86;GIT2025HINDI:0.84:0.55;UIUXHINDI:0.68:0.2;FLUTTER2025EN:0.02:0.24;PYTHON2025ENG:0.63:0.25;GIT2025ENG:0.42:0.15,GIT AND GITHUB
User_706,AIML2025ENG:0.74:0.85;PYTHON2025HINDI:0.78:0.96;UIUXHINDI:0.53:0.62;GIT2025HINDI:0.35:0.21,DEVELOPMENT
User_466,REACT2025HINDI:0.28:0.59;FLUTTER2025EN:0.01:0.26;PYTHON2025ENG:0.51:0.28;PYTHON2025HINDI:0.77:0.04;UIUXHINDI:0.79:0.73;AIML2025ENG:0.86:0.92,"DESIGN,AI/ML,GIT AND GITHUB"
User_1,DEVOPS2025HINDI:0.43:0.05;GIT2025HINDI:0.67:0.95,PROGRAMMING
User_867,PYTHON2025ENG:0.67:0.73;PYTHONDATASCIENCE2025ENGLISH:0.08:0.63,MOBILE
User_488,GIT2025ENG:0.67:0.28;DEVOPS2025HINDI:0.22:0.53;FLUTTER2025EN:0.82:0.14;PYTHON2025ENG:0.77:0.76;PYTHONDATASCIENCE2025ENGLISH:0.62:0.96;PYTHON2025HINDI:0.87:0.11,"PROGRAMMING,MOBILE"
User_356,PYTHON2025ENG:0.42:0.93;NODEJS2025HINDI:0.79:0.88,"LANGUAGES,MOBILE"
User_78,UIUXHINDI:0.02:0.07;GIT2025HINDI:0.62:0.18;REACT2025HINDI:0.91:0.57;GIT2025ENG:0.48:0.73;DEVOPS2025HINDI:0.86:0.69,"GIT AND GITHUB,AI/ML,DATA SCIENCE"
User_521,DEVOPS2025HINDI:0.77:0.09;REACT2025HINDI:0.63:0.86;GIT2025HINDI:0.75:0.73;GIT2025ENG:0.45:0.08;FLUTTER2025EN:0.28:0.34;NODEJS2025HINDI:0.61:0.68;PYTHONDATASCIENCE2025ENGLISH:0.68:0.54,DEVOPS
User_848,REACT2025HINDI:0.64:0.35;GIT2025ENG:0.47:0.06,"PROGRAMMING,AI/ML,DESIGN"
User_475,GIT2025HINDI:0.47:0.46;PYTHONDATASCIENCE2025ENGLISH:0.61:0.14;GIT2025ENG:0.49:0.04;PYTHON2025ENG:0.35:0.69;PYTHON2025HINDI:0.28:0.08;REACT2025HINDI:0.1:0.57;UIUXHINDI:0.26:0.75;AIML2025ENG:0.65:0.14;NODEJS2025HINDI:0.47:0.38,"DEVOPS,GIT AND GITHUB"
User_755,PYTHONDATASCIENCE2025ENGLISH:0.87:0.88;REACT2025HINDI:0.61:0.1;UIUXHINDI:0.48:0.77;NODEJS2025HINDI:0.44:0.37;GIT2025HINDI:0.14:0.51;PYTHON2025HINDI:0.68:0.87;FLUTTER2025EN:0.8:0.67,AI/ML
User_390,DEVOPS2025HINDI:0.41:0.07;UIUXHINDI:0.32:0.41;PYTHONDATASCIENCE2025ENGLISH:0.3:0.92;GIT2025HINDI:0.36:0.91;PYTHON2025ENG:0.07:0.88,"DEVOPS,GIT AND GITHUB,DATA SCIENCE"
User_387,REACT2025HINDI:0.89:0.01;PYTHON2025ENG:0.38:0.55,DEVELOPMENT
User_609,FLUTTER2025EN:0.94:0.21,"AI/ML,DEVELOPMENT"
User_806,AIML2025ENG:0.69:0.5;GIT2025ENG:0.52:0.84;NODEJS2025HINDI:0.5:0.46;GIT2025HINDI:0.18:0.88;DEVOPS2025HINDI:0.9:0.86;REACT2025HINDI:0.99:0.18;PYTHON2025ENG:0.12:0.49;PYTHONDATASCIENCE2025ENGLISH:0.88:0.83,LANGUAGES
User_884,GIT2025ENG:0.61:0.99;FLUTTER2025EN:0.35:0.31;PYTHON2025HINDI:0.13:0.88;PYTHON2025ENG:0.66:0.43;AIML2025ENG:0.27:0.88;UIUXHINDI:0.92:0.85;DEVOPS2025HINDI:0.83:0.58,LANGUAGES
User_752,FLUTTER2025EN:0.82:0.64;PYTHON2025ENG:0.21:0.8;GIT2025HINDI:0.1:0.61;PYTHONDATASCIENCE2025ENGLISH:0.77:0.93;GIT2025ENG:0.18:0.69,DEVOPS
User_270,GIT2025ENG:0.68:0.08;PYTHON2025HINDI:0.92:0.81;FLUTTER2025EN:0.76:0.59;PYTHON2025ENG:0.27:0.94;AIML2025ENG:0.05:0.17;GIT2025HINDI:0.94:0.28;DEVOPS2025HINDI:0.04:0.35;REACT2025HINDI:1.0:0.98,DESIGN
User_107,UIUXHINDI:0.41:0.4,"AI/ML,DEVELOPMENT,DATA SCIENCE"
User_922,FLUTTER2025EN:1.0:0.15;PYTHONDATASCIENCE2025ENGLISH:0.59:0.71;UIUXHINDI:0.21:0.02;DEVOPS2025HINDI:0.34:0.24;PYTHON2025ENG:0.83:0.51;NODEJS2025HINDI:0.86:0.44,GIT AND GITHUB
User_393,GIT2025ENG:0.85:0.81;PYTHON2025ENG:0.69:0.58;NODEJS2025HINDI:0.4:0.12;DEVOPS2025HINDI:0.15:0.82;PYTHON2025HINDI:0.05:0.0,"DATA SCIENCE,DEVELOPMENT,AI/ML"
User_730,DEVOPS2025HINDI:0.05:0.85;GIT2025HINDI:0.85:0.39;PYTHON2025ENG:0.3:0.07;PYTHONDATASCIENCE2025ENGLISH:0.61:0.03;REACT2025HINDI:0.11:0.18;GIT2025ENG:0.14:0.28;NODEJS2025HINDI:0.66:0.8,DEVELOPMENT
User_229,NODEJS2025HINDI:0.7:0.2;PYTHON2025ENG:0.7:0.87;GIT2025ENG:0.85:0.64;PYTHON2025HINDI:0.43:0.06,"MOBILE,GIT AND GITHUB,LANGUAGES"
User_271,GIT2025HINDI:0.09:0.58;GIT2025ENG:0.13:0.05;PYTHON2025ENG:0.58:0.64;UIUXHINDI:0.7:0.8;NODEJS2025HINDI:0.51:0.36;PYTHONDATASCIENCE2025ENGLISH:0.32:0.38;AIML2025ENG:0.26:0.74;PYTHON2025HINDI:0.49:0.77,"DATA SCIENCE,MOBILE,AI/ML"
User_90,FLUTTER2025EN:0.11:0.78;NODEJS2025HINDI:0.18:0.43,"GIT AND GITHUB,MOBILE,DATA SCIENCE"
User_217,,AI/ML
